"","FC1","FNC9","FNC12","FC11","FNC7","FNC1","FC6","FC2","FNC10","FNC8","FC4","FC12","FC7","FC10","FNC3","FC3","FNC6","FC5","FNC11","FC9","FNC5","FNC2","FNC4","FC8","taxonomy"
"1",5384,235,28,1736,4,324,2119,1520,0,420,100,473,5084,3419,0,110,61,46,0,499,0,89,0,1976,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas;"
"2",1805,1501,2469,209,535,4229,511,1135,180,1230,238,268,529,1168,6856,516,151,260,706,206,119,1368,193,475,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter;"
"3",1656,3233,494,855,141,133,119,5641,1776,2574,52,479,3690,1238,2381,73,2649,30,1254,1484,3449,1905,4651,2102,"k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;"
"4",467,649,465,75,114,162,66,191,16,487,17,121,136,197,736,20,103,10,33,8,30,401,54,128,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;"
"5",445,296,469,105,178,138,115,370,94,221,177,197,171,107,206,296,32,190,96,144,26,146,72,275,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Terrabacter;"
"6",421,582,232,495,110,223,94,514,218,535,11,100,524,448,338,25,335,2,258,107,290,256,505,427,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter;"
"7",389,305,350,84,303,65,158,295,45,175,173,284,91,159,161,210,11,130,15,127,20,96,31,185,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__uncultured-Xanthomonadaceae;"
"8",323,7,2,16,7,0,116,15,4,14,10,186,0,11,0,8,0,22,0,0,0,0,0,167,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter;"
"9",319,1311,1021,7,554,1964,114,287,0,881,21,0,98,60,1272,32,42,22,13,3,21,1309,16,38,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;"
"10",299,212,262,104,101,200,79,241,121,176,23,31,248,167,173,36,67,15,69,49,97,210,95,181,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;"
"11",237,281,202,96,410,150,135,331,209,210,306,89,190,328,249,324,58,229,184,259,102,85,167,171,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;"
"12",235,111,171,125,79,132,40,141,56,84,9,87,125,88,172,11,31,2,33,16,60,103,61,133,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;"
"13",215,458,335,205,640,147,114,389,548,371,336,219,280,659,411,349,306,374,382,294,306,255,451,332,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Afipia;"
"14",165,510,283,34,139,101,57,152,210,433,44,63,100,147,566,33,203,9,220,61,203,83,377,158,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Xenophilus;"
"15",159,273,385,51,376,407,99,385,72,204,86,25,308,181,157,154,131,34,91,119,80,190,147,57,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavisolibacter;"
"16",153,262,134,102,186,119,55,239,187,219,58,74,218,110,157,80,144,82,110,105,177,224,205,207,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Variibacter;"
"17",151,55,69,61,27,31,57,104,27,93,23,21,28,167,65,36,20,71,17,49,10,0,23,68,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;"
"18",134,120,0,37,45,143,0,10,43,65,0,180,52,0,305,0,125,0,37,27,5,288,27,49,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Curvibacter;"
"19",132,84,56,5,28,139,0,3,11,106,0,47,58,0,7,0,30,0,25,2,25,3,42,13,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Ferribacterium;"
"20",132,199,16,25,86,14,14,331,23,154,31,32,401,83,112,80,60,44,39,293,50,32,50,59,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Lacibacter;"
"21",122,45,7,12,53,5,13,53,13,63,37,28,30,30,58,66,11,61,12,80,1,21,13,46,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Ferruginibacter;"
"22",110,233,48,86,32,37,8,118,38,180,13,38,98,49,56,12,69,34,44,25,52,56,91,86,"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planococcus;"
"23",106,75,48,38,15,63,12,45,14,69,2,23,38,30,35,1,21,0,22,8,32,31,42,46,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylorosula;"
"24",100,108,529,92,253,143,75,319,190,195,185,97,266,338,1461,82,112,26,747,139,184,86,449,170,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter;"
"25",99,110,110,44,126,26,43,147,154,56,200,106,56,74,223,219,10,328,57,88,12,108,44,145,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;"
"26",98,108,207,44,159,35,126,192,107,81,160,119,134,204,198,183,16,295,44,88,23,81,82,96,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;"
"27",97,237,0,41,78,26,0,86,18,224,12,23,39,56,0,35,74,4,30,57,57,33,68,38,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Xenophilus;"
"28",96,180,17,112,2,12,17,47,10,88,0,108,43,69,59,7,47,0,18,9,77,52,18,96,"k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga;"
"29",94,128,117,21,20,50,32,52,26,77,0,19,67,82,83,0,45,0,17,6,27,84,24,41,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylorosula;"
"30",93,262,45,6,16,1059,68,46,6,153,0,2,8,26,105,0,10,2,1,3,0,221,0,1,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;"
"31",78,0,0,45,0,0,2,120,0,1,4,10,5,4,0,1,0,1,0,2,0,0,0,23,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;"
"32",77,83,46,23,95,19,16,135,48,68,102,17,74,53,26,172,6,96,82,100,24,15,55,46,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Intrasporangium;"
"33",75,89,66,16,37,5,13,137,33,159,35,36,46,36,120,21,26,11,22,33,24,32,37,42,"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;"
"34",75,139,690,2,33,0,104,110,96,11,28,35,18,12,178,15,0,21,12,8,2,177,10,26,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;"
"35",75,26,249,5,181,320,38,57,8,32,126,43,56,43,41,77,17,45,16,125,5,52,27,24,"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;"
"36",74,174,586,45,340,112,107,0,339,87,79,65,61,79,895,68,48,43,121,35,51,157,137,70,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter;"
"37",73,4,0,5,10,0,48,21,26,2,48,71,0,22,0,26,0,119,5,43,2,3,0,175,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter;"
"38",72,71,73,61,16,91,3,128,37,113,0,10,106,68,112,6,78,0,7,13,39,215,47,61,"k__Bacteria;p__Bacteroidetes;c__WCHB1-32;o__WCHB1-32CL;f__WCHB1-32CL;g__WCHB1-32CL;"
"39",64,8,12,28,0,47,14,1,0,41,1,6,16,26,30,8,9,1,0,5,7,18,7,26,"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;"
"40",64,75,40,10,43,22,11,55,10,104,15,19,34,37,78,6,16,2,15,24,14,43,35,35,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;"
"41",63,36,7,12,11,17,25,13,7,67,2,10,19,15,35,2,4,5,1,0,0,9,0,20,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Ferruginibacter;"
"42",61,1,2,1,57,21,0,39,4,49,4,9,69,0,20,10,13,1,0,9,9,31,7,47,"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;"
"43",60,21,24,10,0,12,11,28,5,20,13,7,13,34,21,4,6,26,26,7,20,4,20,5,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;"
"44",60,31,60,31,28,38,31,37,12,33,3,41,16,28,25,0,0,7,2,14,3,25,0,23,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;"
"45",59,44,12,21,19,6,2,28,10,78,2,53,26,6,8,4,35,0,6,4,14,23,13,30,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;"
"46",58,59,20,46,5,28,13,22,24,63,6,2,19,29,24,0,46,0,2,4,13,40,15,19,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__BSV13;"
"47",58,29,36,54,0,7,11,32,16,28,0,10,19,78,15,0,64,0,7,0,40,175,28,98,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__BSV13;"
"48",54,0,0,11,0,0,0,7,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,3,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Sulfuritalea;"
"49",54,82,51,83,35,12,24,17,7,35,0,41,0,0,35,19,0,4,0,7,0,7,0,40,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;"
"50",54,19,158,14,13,124,28,29,1,37,6,10,26,36,44,3,30,0,5,6,7,37,11,6,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bacteriovoracaceae;g__Bacteriovorax;"
"51",54,124,41,41,30,29,15,78,61,76,6,25,52,41,57,11,56,51,29,48,34,42,61,80,"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Domibacillus;"
"52",53,11,5,1,29,2,11,25,10,26,1,22,15,2,15,0,0,3,3,0,0,9,2,38,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;"
"53",53,314,174,3,43,643,34,23,7,85,7,9,14,18,293,11,7,1,4,0,2,270,22,0,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;"
"54",49,11,0,12,0,0,1,1,2,9,0,0,4,5,0,0,0,0,0,0,0,0,0,10,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__LentimicrobiaceaeFA;"
"55",48,87,140,4,162,28,55,3,58,49,8,80,0,0,160,14,0,16,13,0,0,98,0,37,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquincola;"
"56",47,66,49,33,39,35,17,83,56,48,18,22,53,39,32,14,34,66,38,44,48,53,44,54,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Roseiarcaceae;g__Roseiarcus;"
"57",45,99,51,131,13,4,36,26,39,119,0,28,26,101,28,13,348,3,28,11,145,73,105,80,"k__Bacteria;p__Bacteroidetes;c__Bacteroidetes vadinHA17;o__Bacteroidetes vadinHA17CL;f__Bacteroidetes vadinHA17CL;g__Bacteroidetes vadinHA17CL;"
"58",45,10,2,4,7,0,35,26,15,2,42,30,13,4,4,52,0,65,5,48,0,0,4,65,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter;"
"59",43,31,41,3,35,32,13,42,0,61,20,7,12,17,32,32,2,11,4,16,5,23,19,0,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Taibaiella;"
"60",42,85,127,8,166,6,13,140,25,36,71,21,38,18,76,124,9,77,10,65,8,20,12,35,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas;"
"61",42,54,53,53,30,41,16,40,89,100,8,22,58,52,48,6,47,0,42,42,109,103,162,86,"k__Bacteria;p__Bacteroidetes;c__SB-5;o__SB-5CL;f__SB-5CL;g__SB-5CL;"
"62",42,2,23,13,41,28,1,72,205,40,1,19,91,8,112,0,0,2,14,49,79,13,45,130,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylobacter;"
"63",42,41,0,13,18,3,3,33,6,33,8,6,8,6,3,5,0,5,11,15,33,0,31,26,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;"
"64",42,51,7,15,10,3,2,32,8,34,7,13,38,16,17,0,30,8,17,5,10,15,27,17,"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Chungangia;"
"65",40,39,32,11,31,17,13,32,17,28,9,7,26,27,38,15,11,18,7,17,4,4,20,31,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Porphyrobacter;"
"66",40,30,3,16,6,0,3,0,97,10,0,15,30,18,21,4,19,9,2,2,4,12,4,21,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__uncultured-Moraxellaceae;"
"67",37,75,42,25,9,9,13,21,10,70,0,10,17,52,43,0,32,0,4,2,42,38,43,15,"k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__HolophagaceaeFA;"
"68",37,55,35,12,77,7,11,102,35,41,37,36,32,33,57,97,15,97,25,83,17,16,16,38,"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured-Gemmatimonadaceae;"
"69",37,0,0,32,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,5,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__KD3-93;g__KD3-93FA;"
"70",36,6,0,8,8,0,1,4,5,21,0,3,21,5,0,0,2,1,7,0,0,3,3,11,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Ferruginibacter;"
"71",36,29,18,13,38,6,19,26,19,11,12,49,22,11,24,12,5,29,11,19,6,16,10,47,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Mesorhizobium;"
"72",34,23,10,8,12,14,10,34,19,29,19,24,13,35,16,19,2,21,31,8,6,17,21,31,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales Incertae Sedis;g__Rhizomicrobium;"
"73",34,70,0,0,5,42,5,0,0,67,0,0,7,19,19,1,6,0,0,1,0,31,0,2,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;"
"74",32,36,10,3,5,29,1,7,10,31,0,5,23,7,17,0,20,0,6,4,8,34,3,13,"k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__BSV40;g__BSV40FA;"
"75",31,64,36,40,30,13,4,34,21,52,6,33,19,37,41,17,16,25,39,7,15,49,22,32,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Aminobacter;"
"76",30,34,5,20,11,13,6,16,15,32,0,5,32,59,21,0,13,0,0,5,4,44,11,23,"k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Ignavibacterium;"
"77",29,96,49,15,72,17,12,55,37,43,50,35,24,28,97,72,14,41,53,84,39,17,41,46,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__SC-I-84OR;g__SC-I-84OR;"
"78",29,0,7,5,11,0,4,29,7,22,4,9,12,10,27,7,4,12,7,9,1,4,16,34,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Variibacter;"
"79",28,4,0,0,1,0,2,0,0,8,3,6,6,0,1,4,1,0,0,0,0,3,0,4,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;"
"80",28,58,17,17,0,2,2,6,12,44,0,14,12,16,8,2,19,0,10,4,18,7,49,18,"k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;"
"81",28,75,2,46,3,38,0,4,0,73,0,22,9,14,12,5,7,0,0,0,0,30,1,11,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Actimicrobium;"
"82",28,3,0,3,0,0,0,0,2,11,0,5,0,2,0,0,21,0,2,0,2,0,48,9,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Ferribacterium;"
"83",27,34,7,0,0,0,0,0,0,11,0,0,23,14,5,0,4,0,0,3,2,0,2,8,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__alphaI cluster;g__alphaI clusterFA;"
"84",27,65,53,4,33,40,5,36,17,93,19,10,19,18,29,17,16,0,37,33,12,56,26,53,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Intrasporangium;"
"85",27,70,27,12,43,13,10,33,17,39,15,15,21,9,25,14,7,16,11,9,28,38,32,28,"k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__TM146;g__TM146FA;"
"86",27,24,0,0,0,0,0,0,2,0,0,29,14,0,0,0,10,0,3,0,14,0,17,84,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylobacter;"
"87",27,277,151,2,312,305,0,150,6,132,7,2,76,72,126,23,92,3,30,19,31,118,50,0,"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium;"
"88",27,50,19,7,48,11,3,67,22,22,47,20,25,43,30,70,15,66,37,72,17,11,33,36,"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured-Gemmatimonadaceae;"
"89",26,69,28,26,21,66,6,32,27,80,1,20,60,26,46,7,25,2,16,5,49,20,49,65,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Archangiaceae;g__Anaeromyxobacter;"
"90",25,0,0,1,0,0,7,0,0,8,0,2,0,1,0,1,1,0,0,0,0,0,0,19,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter;"
"91",25,61,85,15,97,4,3,33,28,27,71,11,14,35,92,48,10,24,53,85,13,25,33,29,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__uncultured-Nitrosomonadaceae;"
"92",25,5,0,11,8,28,15,0,0,2,4,9,0,12,0,2,1,3,0,0,0,0,0,7,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bacteriovoracaceae;g__Bacteriovorax;"
"93",25,43,17,20,19,3,11,21,33,32,11,11,21,13,17,8,24,21,19,5,19,20,19,28,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__XanthobacteraceaeFA;"
"94",25,64,82,0,105,132,0,75,31,45,52,15,90,44,77,58,18,14,36,36,28,35,36,28,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavisolibacter;"
"95",25,4,0,5,0,8,0,5,0,13,0,0,3,10,0,0,10,0,0,6,0,19,4,43,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Paludibacter;"
"96",25,25,18,9,32,6,1,22,5,16,40,9,18,21,0,52,7,28,16,43,9,11,15,25,"k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae (Subgroup 4);g__Blastocatellaceae (Subgroup 4)FA;"
"97",25,3,2,4,5,0,0,0,4,11,0,0,0,2,1,0,18,0,1,0,7,14,3,3,"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;"
"98",25,33,12,9,47,4,7,31,15,14,44,11,25,23,49,78,4,67,18,70,4,18,19,30,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;"
"99",25,37,23,12,23,4,13,67,37,31,8,27,26,27,58,7,28,20,38,17,14,21,23,33,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__Acidobacterium;"
"100",24,15,0,19,5,0,0,8,2,3,0,1,0,7,0,5,1,5,1,10,15,0,1,5,"k__Bacteria;p__Verrucomicrobia;c__OPB35 soil group;o__OPB35 soil groupCL;f__OPB35 soil groupCL;g__OPB35 soil groupCL;"
"101",24,39,23,14,12,23,2,10,7,39,0,6,29,15,25,0,13,4,7,3,8,10,9,14,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__uncultured-Caulobacteraceae;"
"102",24,11,6,12,12,12,3,37,30,11,18,30,10,19,5,13,4,1,16,6,10,9,38,21,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__KD3-93;g__KD3-93FA;"
"103",23,19,32,3,0,0,7,0,0,10,0,20,0,0,25,0,0,0,0,0,0,10,0,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__WW2-159;g__WW2-159FA;"
"104",23,4,3,0,0,0,1,0,0,0,0,0,0,3,0,0,4,0,0,0,0,13,0,0,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halobacteroidaceae;g__uncultured-Halobacteroidaceae;"
"105",23,43,25,33,27,48,15,43,33,61,0,3,36,60,69,0,36,0,13,4,44,85,16,46,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;"
"106",23,1,10,3,1,1,2,0,74,0,0,2,2,0,34,1,7,2,15,0,16,11,17,0,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Uliginosibacterium;"
"107",23,31,32,16,2,36,8,85,37,72,0,2,10,13,47,0,38,0,1,2,6,69,3,12,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__LiUU-11-161;g__LiUU-11-161FA;"
"108",23,45,2,56,3,56,0,0,1,79,0,713,0,0,16,0,283,0,70,0,179,0,95,253,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Albidiferax;"
"109",22,22,0,8,3,0,0,18,4,31,2,10,3,3,49,12,1,6,10,9,4,8,22,13,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidocella;"
"111",22,3,12,13,3,10,0,17,0,5,0,5,10,16,17,0,11,3,7,5,5,2,24,7,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__Methylocystis;"
"112",22,16,53,11,84,38,5,70,30,27,60,7,20,23,47,78,4,33,26,48,23,7,24,24,"k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae (Subgroup 4);g__Stenotrophobacter;"
"113",21,16,2,0,0,9,2,4,6,0,0,2,5,0,14,0,0,0,3,0,0,24,0,1,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Segetibacter;"
"114",21,13,17,5,9,11,0,1,7,20,1,0,0,1,11,5,10,0,2,10,9,4,12,12,"k__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96CL;f__KD4-96CL;g__KD4-96CL;"
"115",21,24,69,14,106,47,36,55,44,19,60,31,58,56,65,105,8,61,26,67,16,39,29,39,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavisolibacter;"
"116",20,40,39,9,29,3,1,11,8,25,20,5,8,18,27,42,8,7,11,8,9,0,16,11,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;"
"117",20,3,0,4,0,3,4,4,0,2,0,0,0,18,0,0,1,0,0,0,0,0,0,6,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Paludibacter;"
"118",20,18,29,3,22,0,9,38,36,12,8,34,17,2,13,4,2,30,11,13,0,7,8,17,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Oryzihumus;"
