"","FC1","FNC9","FNC12","FC11","FNC7","FNC1","FC6","FC2","FNC10","FNC8","FC4","FC12","FC7","FC10","FNC3","FC3","FNC6","FC5","FNC11","FC9","FNC5","FNC2","FNC4","FC8","taxonomy"
"3258",0,0,0,0,9,1,0,3,2,1,5,0,3,1,1,6,3,12,0,2,8,0,0,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__DA111;g__DA111FA;"
"3260",0,1,5,0,10,10,0,4,3,2,0,0,0,3,15,0,2,0,3,0,0,0,0,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Shinella;"
"3261",0,0,0,1,4,1,0,9,12,6,15,0,3,0,3,28,4,17,8,16,9,3,7,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Labrys;"
"3262",0,8,4,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;"
"3263",0,1,0,0,1,0,2,0,0,0,2,0,2,1,0,3,0,35,11,4,6,0,5,0,"k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Chryseolinea;"
"3264",0,0,3,0,1,0,0,0,6,0,1,0,2,0,0,0,0,5,5,0,0,1,3,3,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Blfdi19;g__Blfdi19FA;"
"3265",0,2,0,0,0,0,1,3,9,0,0,24,0,1,0,9,0,217,15,5,4,1,6,52,"k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__possible genus 04;"
"3266",0,0,3,4,3,0,0,5,6,1,2,0,0,0,1,5,0,8,12,12,0,4,5,0,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavisolibacter;"
"3267",0,0,0,0,1,0,0,0,0,0,7,0,2,2,4,0,0,0,0,0,0,0,3,2,"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae (Subgroup 3);g__Candidatus Solibacter;"
"3268",0,0,0,0,9,0,0,0,0,0,0,4,0,0,8,0,0,3,0,2,0,0,0,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;"
"3269",0,4,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__uncultured-Acidobacteriaceae (Subgroup 1);"
"3270",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,6,14,2,0,0,5,2,"k__Bacteria;p__Verrucomicrobia;c__OPB35 soil group;o__OPB35 soil groupCL;f__OPB35 soil groupCL;g__OPB35 soil groupCL;"
"3271",0,0,0,0,5,1,0,13,10,2,0,0,0,3,1,3,0,7,12,17,0,3,19,1,"k__Bacteria;p__Acidobacteria;c__Subgroup 2;o__Subgroup 2CL;f__Subgroup 2CL;g__Subgroup 2CL;"
"3272",0,22,0,2,14,0,0,0,2,0,9,0,0,11,8,17,0,16,6,6,0,6,2,9,"k__Bacteria;p__Acidobacteria;c__Subgroup 6;o__Subgroup 6CL;f__Subgroup 6CL;g__Subgroup 6CL;"
"3273",0,0,0,0,0,0,0,0,2,0,2,0,0,0,5,0,0,5,2,0,1,0,0,0,"k__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96CL;f__KD4-96CL;g__KD4-96CL;"
"3274",0,3,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,"k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Pir4 lineage;"
